date,region,product_id,inventory_available,inventory_capacity,stockout_hours
2026-03-01,Region A,P001,115,121,0.58
2026-03-01,Region A,P002,143,152,1.99
2026-03-01,Region A,P003,149,156,0.78
2026-03-01,Region A,P004,84,87,0.56
2026-03-01,Region A,P005,110,117,0.0
2026-03-01,Region A,P006,80,83,0.52
2026-03-01,Region A,P007,115,118,0.75
2026-03-01,Region A,P008,86,89,0.58
2026-03-01,Region A,P009,105,107,0.79
2026-03-01,Region A,P010,136,140,0.71
2026-03-01,Region A,P011,97,100,0.0
2026-03-01,Region A,P012,155,157,0.17
2026-03-01,Region A,P013,107,109,0.0
2026-03-01,Region A,P014,78,82,0.82
2026-03-01,Region A,P015,148,152,0.46
2026-03-01,Region A,P016,89,93,1.0
2026-03-01,Region A,P017,145,151,1.36
2026-03-01,Region A,P018,133,137,0.0
2026-03-01,Region A,P019,131,139,1.82
2026-03-01,Region A,P020,83,88,1.35
2026-03-01,Region A,P021,102,106,0.16
2026-03-01,Region A,P022,92,96,1.11
2026-03-01,Region A,P023,136,145,1.71
2026-03-01,Region A,P024,119,123,1.35
2026-03-01,Region A,P025,115,117,0.71
2026-03-01,Region A,P026,139,143,0.38
2026-03-01,Region A,P027,114,116,0.29
2026-03-01,Region A,P028,118,120,0.42
2026-03-01,Region A,P029,103,109,1.14
2026-03-01,Region A,P030,152,158,0.51
2026-03-01,Region B,P001,82,86,0.63
2026-03-01,Region B,P002,80,85,1.0
2026-03-01,Region B,P003,124,127,0.0
2026-03-01,Region B,P004,149,157,1.7
2026-03-01,Region B,P005,136,144,1.98
2026-03-01,Region B,P006,131,139,0.0
2026-03-01,Region B,P007,110,115,1.15
2026-03-01,Region B,P008,120,123,1.47
2026-03-01,Region B,P009,137,142,0.89
2026-03-01,Region B,P010,118,122,0.43
2026-03-01,Region B,P011,114,121,1.27
2026-03-01,Region B,P012,143,149,0.03
2026-03-01,Region B,P013,139,144,0.65
2026-03-01,Region B,P014,124,130,0.9
2026-03-01,Region B,P015,150,155,0.97
2026-03-01,Region B,P016,99,104,0.98
2026-03-01,Region B,P017,134,137,0.0
2026-03-01,Region B,P018,101,105,0.0
2026-03-01,Region B,P019,90,94,0.67
2026-03-01,Region B,P020,105,109,0.64
2026-03-01,Region B,P021,86,88,0.01
2026-03-01,Region B,P022,137,142,1.29
2026-03-01,Region B,P023,87,89,0.0
2026-03-01,Region B,P024,86,92,0.58
2026-03-01,Region B,P025,143,150,1.14
2026-03-01,Region B,P026,123,128,0.84
2026-03-01,Region B,P027,103,108,0.46
2026-03-01,Region B,P028,101,103,0.0
2026-03-01,Region B,P029,138,142,0.57
2026-03-01,Region B,P030,132,135,0.0
2026-03-01,Region C,P001,79,83,1.36
2026-03-01,Region C,P002,93,97,0.25
2026-03-01,Region C,P003,135,144,0.95
2026-03-01,Region C,P004,141,147,0.35
2026-03-01,Region C,P005,118,121,1.56
2026-03-01,Region C,P006,137,145,1.18
2026-03-01,Region C,P007,94,96,0.56
2026-03-01,Region C,P008,97,102,1.75
2026-03-01,Region C,P009,109,111,1.02
2026-03-01,Region C,P010,123,130,0.31
2026-03-01,Region C,P011,81,86,1.16
2026-03-01,Region C,P012,102,108,1.79
2026-03-01,Region C,P013,145,153,0.88
2026-03-01,Region C,P014,111,116,0.44
2026-03-01,Region C,P015,149,156,1.35
2026-03-01,Region C,P016,130,134,0.0
2026-03-01,Region C,P017,127,131,0.91
2026-03-01,Region C,P018,136,138,0.43
2026-03-01,Region C,P019,144,150,0.48
2026-03-01,Region C,P020,141,150,0.59
2026-03-01,Region C,P021,87,93,1.3
2026-03-01,Region C,P022,89,94,1.02
2026-03-01,Region C,P023,109,114,1.35
2026-03-01,Region C,P024,150,158,1.29
2026-03-01,Region C,P025,138,146,1.6
2026-03-01,Region C,P026,131,136,1.2
2026-03-01,Region C,P027,96,102,2.03
2026-03-01,Region C,P028,133,139,0.76
2026-03-01,Region C,P029,80,83,0.24
2026-03-01,Region C,P030,136,143,0.99
2026-03-01,Region D,P001,116,122,0.9
2026-03-01,Region D,P002,92,94,0.22
2026-03-01,Region D,P003,81,86,1.37
2026-03-01,Region D,P004,112,114,0.37
2026-03-01,Region D,P005,123,130,0.81
2026-03-01,Region D,P006,101,107,1.49
2026-03-01,Region D,P007,81,83,0.0
2026-03-01,Region D,P008,79,82,0.55
2026-03-01,Region D,P009,100,103,0.26
2026-03-01,Region D,P010,105,110,0.93
2026-03-01,Region D,P011,136,143,1.8
2026-03-01,Region D,P012,75,80,1.76
2026-03-01,Region D,P013,133,142,1.68
2026-03-01,Region D,P014,122,126,1.72
2026-03-01,Region D,P015,135,141,1.18
2026-03-01,Region D,P016,108,112,0.59
2026-03-01,Region D,P017,139,148,1.94
2026-03-01,Region D,P018,100,103,0.33
