date,region,channel,customer_id,product_id,product_category,customer_segment,orders,units,revenue,price,discount
2026-03-01,Region A,Online,C00003,P029,Value,Regular,1,1,34.1,34.1,0.0956
2026-03-01,Region A,Online,C00006,P021,Standard,Regular,1,1,147.27,147.27,0.0548
2026-03-01,Region A,Online,C00006,P012,Standard,Regular,1,1,156.72,156.72,0.0925
2026-03-01,Region A,Store,C00006,P003,Premium,Regular,1,1,307.48,307.48,0.0567
2026-03-01,Region A,Store,C00017,P010,Premium,Regular,1,1,233.34,233.34,0.0905
2026-03-01,Region A,Online,C00019,P007,Premium,Regular,1,1,285.06,285.06,0.0786
2026-03-01,Region A,Online,C00025,P018,Standard,Regular,1,1,77.86,77.86,0.0986
2026-03-01,Region A,Store,C00028,P024,Value,Regular,1,1,67.81,67.81,0.0918
2026-03-01,Region A,Online,C00030,P003,Premium,Premium,1,2,610.81,305.41,0.0631
2026-03-01,Region A,Online,C00033,P003,Premium,Regular,1,1,303.72,303.72,0.0682
2026-03-01,Region A,Online,C00034,P021,Standard,Regular,1,1,143.85,143.85,0.0767
2026-03-01,Region A,Online,C00041,P011,Standard,Premium,1,1,110.12,110.12,0.0595
2026-03-01,Region A,Online,C00054,P008,Premium,Regular,1,1,287.14,287.14,0.0845
2026-03-01,Region A,Online,C00072,P009,Premium,Regular,1,1,184.35,184.35,0.0864
2026-03-01,Region A,Online,C00072,P014,Standard,Regular,1,1,147.35,147.35,0.092
2026-03-01,Region A,Online,C00074,P003,Premium,Regular,1,3,906.5,302.17,0.073
2026-03-01,Region A,Store,C00078,P017,Standard,Regular,1,1,122.96,122.96,0.0923
2026-03-01,Region A,Store,C00082,P022,Standard,Premium,1,1,107.11,107.11,0.0722
2026-03-01,Region A,Online,C00082,P010,Premium,Premium,1,1,242.29,242.29,0.0557
2026-03-01,Region A,Online,C00090,P028,Value,Regular,1,1,29.67,29.67,0.0783
2026-03-01,Region A,Online,C00091,P006,Premium,Regular,1,1,311.9,311.9,0.0982
2026-03-01,Region A,Store,C00099,P023,Value,Budget,1,1,74.06,74.06,0.0569
2026-03-01,Region A,Online,C00102,P009,Premium,Regular,1,1,189.46,189.46,0.0611
2026-03-01,Region A,Store,C00103,P011,Standard,Regular,1,1,106.84,106.84,0.0875
2026-03-01,Region A,Store,C00106,P028,Value,Regular,1,1,29.15,29.15,0.0945
2026-03-01,Region A,Store,C00106,P023,Value,Regular,1,1,70.71,70.71,0.0996
2026-03-01,Region A,Online,C00116,P022,Standard,Premium,1,2,209.59,104.79,0.0923
2026-03-01,Region A,Store,C00116,P020,Standard,Premium,1,1,132.39,132.39,0.0753
2026-03-01,Region A,Online,C00122,P028,Value,Premium,1,1,29.93,29.93,0.0702
2026-03-01,Region A,Online,C00163,P013,Standard,Regular,1,2,270.07,135.03,0.0648
2026-03-01,Region A,Store,C00163,P014,Standard,Regular,1,1,147.09,147.09,0.0936
2026-03-01,Region A,Store,C00170,P007,Premium,Regular,1,1,284.62,284.62,0.0801
2026-03-01,Region A,Online,C00176,P020,Standard,Premium,1,1,134.52,134.52,0.0604
2026-03-01,Region A,Online,C00177,P030,Value,Budget,1,1,59.23,59.23,0.0767
2026-03-01,Region A,Online,C00185,P001,Premium,Regular,1,1,288.72,288.72,0.0733
2026-03-01,Region A,Store,C00187,P020,Standard,Premium,1,2,267.52,133.76,0.0657
2026-03-01,Region A,Online,C00187,P013,Standard,Premium,1,2,262.24,131.12,0.0919
2026-03-01,Region A,Online,C00217,P028,Value,Regular,1,1,29.9,29.9,0.0712
2026-03-01,Region A,Online,C00226,P011,Standard,Regular,1,2,220.57,110.29,0.058
2026-03-01,Region A,Online,C00236,P022,Standard,Regular,1,2,212.71,106.36,0.0788
2026-03-01,Region A,Online,C00247,P012,Standard,Regular,1,1,161.43,161.43,0.0651
2026-03-01,Region A,Online,C00248,P027,Value,Budget,1,1,48.79,48.79,0.0852
2026-03-01,Region A,Online,C00260,P028,Value,Budget,1,1,29.23,29.23,0.092
2026-03-01,Region A,Store,C00260,P021,Standard,Budget,1,1,141.37,141.37,0.0927
2026-03-01,Region A,Store,C00264,P020,Standard,Budget,1,2,263.2,131.6,0.0808
2026-03-01,Region A,Online,C00264,P022,Standard,Budget,1,1,105.95,105.95,0.0823
2026-03-01,Region A,Online,C00276,P021,Standard,Premium,1,3,425.28,141.76,0.0902
2026-03-01,Region A,Online,C00276,P020,Standard,Premium,1,1,134.1,134.1,0.0634
2026-03-01,Region A,Store,C00276,P007,Premium,Premium,1,1,289.72,289.72,0.0636
2026-03-01,Region A,Online,C00277,P010,Premium,Regular,1,1,243.61,243.61,0.0505
2026-03-01,Region A,Store,C00279,P017,Standard,Regular,1,1,127.03,127.03,0.0622
2026-03-01,Region A,Online,C00281,P025,Value,Premium,1,1,63.26,63.26,0.0821
2026-03-01,Region A,Online,C00284,P009,Premium,Premium,1,1,183.68,183.68,0.0897
2026-03-01,Region A,Store,C00284,P028,Value,Premium,1,1,30.25,30.25,0.0603
2026-03-01,Region A,Online,C00284,P003,Premium,Premium,1,2,618.49,309.24,0.0513
2026-03-01,Region A,Online,C00297,P017,Standard,Regular,1,1,123.23,123.23,0.0903
2026-03-01,Region A,Store,C00304,P022,Standard,Regular,1,1,104.55,104.55,0.0944
2026-03-01,Region A,Store,C00304,P019,Standard,Regular,1,2,303.5,151.75,0.0676
2026-03-01,Region A,Store,C00308,P014,Standard,Regular,1,1,153.17,153.17,0.0562
2026-03-01,Region A,Online,C00308,P021,Standard,Regular,1,3,429.5,143.17,0.0812
2026-03-01,Region A,Store,C00328,P004,Premium,Regular,1,1,272.4,272.4,0.0876
2026-03-01,Region A,Store,C00332,P016,Standard,Budget,1,1,93.51,93.51,0.0896
2026-03-01,Region A,Online,C00334,P005,Premium,Regular,1,1,180.22,180.22,0.0805
2026-03-01,Region A,Online,C00336,P027,Value,Regular,1,1,48.25,48.25,0.0955
2026-03-01,Region A,Online,C00341,P017,Standard,Budget,1,2,250.93,125.46,0.0738
2026-03-01,Region A,Store,C00341,P012,Standard,Budget,1,1,159.01,159.01,0.0791
2026-03-01,Region A,Online,C00341,P013,Standard,Budget,1,1,134.32,134.32,0.0697
2026-03-01,Region A,Store,C00346,P016,Standard,Budget,1,1,93.89,93.89,0.086
2026-03-01,Region A,Store,C00354,P022,Standard,Premium,1,1,106.83,106.83,0.0747
2026-03-01,Region A,Store,C00363,P011,Standard,Budget,1,1,110.11,110.11,0.0595
2026-03-01,Region A,Online,C00367,P010,Premium,Regular,1,1,235.79,235.79,0.081
2026-03-01,Region A,Online,C00373,P021,Standard,Premium,1,1,143.34,143.34,0.0801
2026-03-01,Region A,Online,C00373,P017,Standard,Premium,1,3,366.69,122.23,0.0977
2026-03-01,Region A,Online,C00373,P021,Standard,Premium,1,1,144.84,144.84,0.0704
2026-03-01,Region A,Online,C00373,P014,Standard,Premium,1,1,152.42,152.42,0.0608
2026-03-01,Region A,Online,C00373,P024,Value,Premium,1,1,70.61,70.61,0.0543
2026-03-01,Region A,Online,C00376,P013,Standard,Regular,1,1,134.64,134.64,0.0675
2026-03-01,Region A,Online,C00376,P005,Premium,Regular,1,1,182.99,182.99,0.0664
2026-03-01,Region A,Online,C00377,P030,Value,Premium,1,1,57.87,57.87,0.0979
2026-03-01,Region A,Online,C00382,P008,Premium,Budget,1,2,592.01,296.01,0.0562
2026-03-01,Region A,Online,C00423,P019,Standard,Premium,1,1,150.16,150.16,0.0774
2026-03-01,Region A,Store,C00431,P016,Standard,Regular,1,1,94.76,94.76,0.0775
2026-03-01,Region A,Online,C00431,P022,Standard,Regular,1,1,106.35,106.35,0.0788
2026-03-01,Region A,Store,C00434,P026,Value,Premium,1,1,37.03,37.03,0.0681
2026-03-01,Region A,Online,C00436,P023,Value,Regular,1,3,212.4,70.8,0.0984
2026-03-01,Region A,Store,C00441,P003,Premium,Regular,1,1,307.58,307.58,0.0564
2026-03-01,Region A,Store,C00456,P015,Standard,Budget,1,1,112.05,112.05,0.0988
2026-03-01,Region A,Online,C00460,P016,Standard,Budget,1,3,277.55,92.52,0.0993
2026-03-01,Region A,Online,C00462,P019,Standard,Premium,1,1,147.3,147.3,0.095
2026-03-01,Region A,Store,C00464,P017,Standard,Premium,1,1,127.99,127.99,0.0551
2026-03-01,Region A,Online,C00468,P026,Value,Premium,1,1,36.98,36.98,0.0691
2026-03-01,Region A,Online,C00474,P002,Premium,Premium,1,1,234.44,234.44,0.0792
2026-03-01,Region A,Store,C00475,P008,Premium,Premium,1,1,285.24,285.24,0.0905
2026-03-01,Region A,Online,C00486,P019,Standard,Premium,1,1,148.46,148.46,0.0878
2026-03-01,Region A,Store,C00486,P005,Premium,Premium,1,1,181.51,181.51,0.074
2026-03-01,Region A,Online,C00486,P029,Value,Premium,1,1,34.55,34.55,0.0838
2026-03-01,Region A,Online,C00486,P014,Standard,Premium,1,1,154.08,154.08,0.0505
2026-03-01,Region A,Online,C00488,P001,Premium,Premium,1,1,286.0,286.0,0.0821
2026-03-01,Region A,Online,C00489,P027,Value,Premium,1,1,49.65,49.65,0.0691
2026-03-01,Region A,Store,C00489,P019,Standard,Premium,1,1,151.37,151.37,0.07
2026-03-01,Region A,Online,C00489,P029,Value,Premium,1,1,33.94,33.94,0.0999
2026-03-01,Region A,Store,C00494,P017,Standard,Regular,1,1,127.77,127.77,0.0568
2026-03-01,Region A,Store,C00499,P026,Value,Premium,1,1,36.55,36.55,0.08
2026-03-01,Region A,Store,C00499,P029,Value,Premium,1,2,69.47,34.73,0.0789
2026-03-01,Region A,Online,C00513,P018,Standard,Regular,1,1,80.51,80.51,0.0679
2026-03-01,Region A,Online,C00521,P022,Standard,Premium,1,1,108.74,108.74,0.0581
2026-03-01,Region A,Online,C00527,P017,Standard,Regular,1,1,122.03,122.03,0.0991
2026-03-01,Region A,Store,C00527,P018,Standard,Regular,1,1,81.89,81.89,0.052
2026-03-01,Region A,Store,C00527,P017,Standard,Regular,1,1,124.23,124.23,0.0829
2026-03-01,Region A,Online,C00528,P002,Premium,Regular,1,1,239.16,239.16,0.0607
2026-03-01,Region A,Online,C00528,P003,Premium,Regular,1,1,307.95,307.95,0.0553
2026-03-01,Region A,Online,C00548,P019,Standard,Premium,1,1,147.68,147.68,0.0927
